date,RH2M_mean
20230530,80.045
20230531,82.142
20230601,83.348
20230602,79.859
20230603,78.146
20230604,73.745
20230605,75.594
20230606,74.383
20230607,79.471
20230608,79.446
20230609,81.700
20230610,84.277
20230611,84.154
20230612,81.496
20230613,79.304
20230614,81.712
20230615,80.703
20230616,78.619
20230617,75.428
20230618,75.749
20230619,75.967
20230620,65.865
20230621,58.942
20230622,64.552
20230623,70.060
20230624,74.141
20230625,71.824
20230626,68.496
20230627,69.397
20230628,71.159
20230629,69.966
20230630,59.270
20230701,51.881
20230702,53.350
20230703,52.882
20230704,50.208
20230705,48.813
20230706,53.780
20230707,66.872
20230708,67.293
20230709,68.327
20230710,54.825
20230711,43.710
20230712,43.492
20230713,44.827
20230714,44.741
20230715,44.498
20230716,45.881
20230717,48.565
20230718,44.688
20230719,45.975
20230720,46.012
20230721,40.873
20230722,43.087
20230723,47.170
20230724,52.336
20230725,42.204
20230726,43.239
20230727,47.673
20230728,48.224
20230729,52.893
20230730,47.562
20230731,53.630
20230801,54.391
20230802,54.429
20230803,44.728
20230804,54.989
20230805,51.953
20230806,40.609
20230807,42.299
20230808,50.673
20230809,65.819
20230810,70.143
20230811,70.949
20230812,71.043
20230813,58.853
20230814,51.014
20230815,44.842
20230816,45.775
20230817,40.666
20230818,41.648
20230819,50.259
20230820,65.282
20230821,81.604
20230822,71.921
20230823,55.886
20230824,59.664
20230825,50.234
20230826,47.294
20230827,38.044
20230828,36.777
20230829,36.650
20230830,36.368
20230831,49.552
20230901,61.177
20230902,78.067
20230903,76.098
20230904,74.532
20230905,75.805
20230906,71.010
20230907,60.140
20230908,43.625
20230909,49.396
20230910,57.894
20230911,64.256
20230912,63.366
20230913,73.117
20230914,70.490
20230915,72.703
20230916,75.625
20230917,76.676
20230918,76.349
20230919,78.507
20230920,79.630
20230921,81.929
20230922,74.133
20230923,67.205
20230924,62.159
20230925,56.722
20230926,54.558
20230927,60.223
20230928,65.379
20230929,78.978
20230930,81.360
20231001,74.476
20231002,72.039
20231003,64.911
20231004,45.244
20231005,38.067
20231006,35.504
20231007,38.623
20231008,39.602
20231009,45.007
20231010,65.677
20231011,73.214
20231012,49.398
20231013,51.911
20231014,51.683
20231015,35.822
20231016,35.283
20231017,46.382
20231018,41.013
20231019,37.769
20231020,37.046
20231021,44.871
20231022,71.258
20231023,78.758
20231024,74.469
20231025,80.559
20231026,74.599
20231027,68.870
20231028,47.353
20231029,32.984
20231030,21.382
20231031,23.004
20231101,24.884
20231102,28.914
20231103,33.749
20231104,38.809
20231105,44.112
20231106,65.681
20231107,77.915
20231108,48.811
20231109,26.997
20231110,28.581
20231111,30.264
20231112,26.161
20231113,51.316
20231114,50.593
20231115,50.062
20231116,84.292
20231117,77.470
20231118,86.202
20231119,76.382
20231120,35.861
20231121,36.476
20231122,38.528
20231123,59.555
20231124,74.788
20231125,62.224
20231126,41.678
20231127,36.935
20231128,40.950
20231129,74.578
20231130,83.155
20231201,78.365
20231202,66.760
20231203,66.153
20231204,51.847
20231205,45.688
20231206,50.252
20231207,78.264
20231208,61.813
20231209,34.886
20231210,27.226
20231211,38.091
20231212,59.675
20231213,60.633
20231214,48.073
20231215,38.352
20231216,36.270
20231217,35.383
20231218,40.671
20231219,81.696
20231220,93.529
20231221,91.778
20231222,85.579
20231223,85.707
20231224,81.629
20231225,53.357
20231226,64.587
20231227,61.552
20231228,65.556
20231229,58.840
20231230,87.873
20231231,91.581
20240101,75.467
20240102,69.465
20240103,83.377
20240104,70.767
20240105,58.067
20240106,49.933
20240107,70.579
20240108,52.862
20240109,43.198
20240110,73.558
20240111,72.096
20240112,51.861
20240113,59.921
20240114,78.475
20240115,74.654
20240116,62.933
20240117,82.343
20240118,80.790
20240119,70.018
20240120,94.257
20240121,90.343
20240122,92.561
20240123,86.018
20240124,86.567
20240125,83.913
20240126,68.622
20240127,46.699
20240128,50.079
20240129,48.839
20240130,49.663
20240131,71.672
20240201,92.255
20240202,83.293
20240203,79.905
20240204,84.524
20240205,92.003
20240206,89.155
20240207,86.390
20240208,81.473
20240209,77.953
20240210,72.026
20240211,55.438
20240212,62.054
20240213,75.772
20240214,86.131
20240215,82.441
20240216,79.737
20240217,78.582
20240218,88.347
20240219,94.443
20240220,92.385
20240221,86.353
20240222,81.432
20240223,68.955
20240224,61.053
20240225,85.990
20240226,87.157
20240227,83.030
20240228,75.270
20240229,88.969
20240301,85.383
20240302,91.811
20240303,85.255
20240304,80.797
20240305,82.341
20240306,84.510
20240307,82.572
20240308,75.918
20240309,63.943
20240310,76.112
20240311,82.305
20240312,83.867
20240313,80.321
20240314,57.462
20240315,59.235
20240316,81.813
20240317,81.760
20240318,73.491
20240319,78.562
20240320,81.206
20240321,78.791
20240322,81.661
20240323,87.234
20240324,80.583
20240325,75.932
20240326,79.421
20240327,78.907
20240328,82.861
20240329,83.157
20240330,81.832
20240331,86.366
20240401,76.935
20240402,70.429
20240403,68.737
20240404,87.153
20240405,80.384
20240406,68.362
20240407,67.626
20240408,69.436
20240409,51.994
20240410,55.962
20240411,57.803
20240412,69.197
20240413,82.661
20240414,85.593
20240415,79.236
20240416,66.667
20240417,67.859
20240418,66.388
20240419,81.206
20240420,79.443
20240421,74.302
20240422,75.721
20240423,80.360
20240424,82.985
20240425,86.412
20240426,80.684
20240427,74.066
20240428,73.366
20240429,68.958
20240430,67.462
20240501,74.150
20240502,73.041
20240503,80.616
20240504,85.389
20240505,72.848
20240506,58.045
20240507,64.026
20240508,65.374
20240509,68.167
20240510,67.977
20240511,70.325
20240512,70.579
20240513,74.723
20240514,74.742
20240515,83.757
20240516,80.922
20240517,84.529
20240518,80.595
20240519,77.219
20240520,80.763
20240521,72.637
20240522,76.837
20240523,81.055
20240524,82.330
20240525,78.305
20240526,77.199
20240527,77.227
20240528,73.904
20240529,72.832
20240530,71.928
20240531,73.072
20240601,74.345
20240602,76.237
20240603,72.893
20240604,72.012
20240605,63.468
20240606,63.595
20240607,77.327
20240608,80.230
20240609,79.393
20240610,73.370
20240611,62.992
20240612,69.275
20240613,57.797
20240614,58.304
20240615,52.032
20240616,56.399
20240617,65.074
20240618,52.559
20240619,63.802
20240620,65.924
20240621,54.212
20240622,44.623
20240623,39.815
20240624,54.059
20240625,58.452
20240626,60.020
20240627,68.012
20240628,70.300
20240629,52.689
20240630,38.460
20240701,46.431
20240702,49.145
20240703,40.105
20240704,44.080
20240705,48.096
20240706,49.472
20240707,52.512
20240708,47.043
20240709,45.033
20240710,40.465
20240711,46.736
20240712,51.561
20240713,52.468
20240714,55.647
20240715,50.587
20240716,56.200
20240717,62.290
20240718,55.705
20240719,42.883
20240720,36.193
20240721,40.481
20240722,38.644
20240723,41.768
20240724,40.208
20240725,44.718
20240726,45.487
20240727,54.211
20240728,45.637
20240729,40.859
20240730,38.078
20240731,37.004
20240801,38.914
20240802,47.037
20240803,33.650
20240804,38.040
20240805,32.388
20240806,33.194
20240807,43.950
20240808,41.822
20240809,46.896
20240810,44.790
20240811,45.827
20240812,43.456
20240813,46.712
20240814,51.258
20240815,44.323
20240816,43.519
20240817,54.057
20240818,53.485
20240819,40.236
20240820,34.113
20240821,35.117
20240822,55.459
20240823,61.505
20240824,63.878
20240825,62.320
20240826,48.523
20240827,46.827
20240828,49.905
20240829,50.184
20240830,49.470
20240831,51.947
20240901,44.500
20240902,48.581
20240903,41.877
20240904,34.771
20240905,24.550
20240906,21.755
20240907,32.117
20240908,29.946
20240909,26.955
20240910,26.982
20240911,50.675
20240912,63.411
20240913,73.174
20240914,72.876
20240915,76.897
20240916,73.356
20240917,68.958
20240918,71.985
20240919,76.185
20240920,75.787
20240921,75.875
20240922,65.625
20240923,45.740
20240924,42.402
20240925,46.580
20240926,55.837
20240927,47.138
20240928,40.049
20240929,38.498
20240930,40.870
20241001,34.247
20241002,33.974
20241003,33.282
20241004,42.797
20241005,38.820
20241006,33.422
20241007,34.444
20241008,35.122
20241009,38.927
20241010,44.898
20241011,34.530
20241012,39.718
20241013,50.528
20241014,67.498
20241015,74.054
20241016,77.448
20241017,80.146
20241018,62.532
20241019,27.343
20241020,45.911
20241021,35.206
20241022,31.446
20241023,31.190
20241024,36.406
20241025,38.552
20241026,34.362
20241027,41.050
20241028,68.332
20241029,66.270
20241030,59.006
20241031,54.376
20241101,66.774
20241102,77.421
20241103,71.717
20241104,35.172
20241105,35.595
20241106,36.579
20241107,24.379
20241108,27.589
20241109,40.900
20241110,34.205
20241111,49.017
20241112,69.678
20241113,35.073
20241114,44.857
20241115,77.650
