date,no2_ug_m3,o3_ug_m3
2018-04-13,34.592,74.48
2018-04-14,28.2,98.0
2018-04-15,29.892000000000003,77.812
2018-04-16,21.996000000000002,67.424
2018-04-17,16.544,79.576
2018-04-18,14.288,81.144
2018-04-19,19.740000000000002,64.68
2018-04-20,33.464,40.768
2018-04-21,45.12,56.252
2018-04-22,39.480000000000004,52.92
2018-04-23,38.728,62.523999999999994
2018-04-24,46.06,54.88
2018-04-25,21.62,84.868
2018-04-26,22.56,73.696
2018-04-27,23.688,69.384
2018-04-28,28.2,54.684000000000005
2018-04-29,15.3784,73.696
2018-04-30,17.578000000000003,74.48
2018-05-01,24.064,73.5
2018-05-02,23.875999999999998,64.28800000000001
2018-05-03,39.480000000000004,42.728
2018-05-04,48.316,54.88
2018-05-05,57.528,32.536
2018-05-06,33.464,65.856
2018-05-07,34.216,70.756
2018-05-08,37.6,65.072
2018-05-09,30.644,59.584
2018-05-10,29.704000000000004,59.976
2018-05-11,19.552,61.544
2018-05-12,15.867199999999999,71.34400000000001
2018-05-13,6.8996,78.204
2018-05-14,24.816,50.568
2018-05-15,28.388,45.275999999999996
2018-05-16,28.388,50.176
2018-05-17,23.688,58.016000000000005
2018-05-18,15.040000000000001,63.7
2018-05-19,21.808,57.623999999999995
2018-05-20,10.7912,73.304
2018-05-21,21.432000000000002,55.467999999999996
2018-05-22,22.372,54.096
2018-05-23,16.450000000000003,59.976
2018-05-24,17.145599999999998,60.564
2018-05-25,12.896799999999999,60.368
2018-05-26,15.397199999999998,56.84
2018-05-27,14.250399999999999,62.132
2018-05-28,11.5808,72.128
2018-05-29,22.184,60.955999999999996
2018-05-30,19.740000000000002,49.588
2018-05-31,20.304000000000002,55.272
2018-06-01,29.892000000000003,47.824000000000005
2018-06-02,30.080000000000002,60.76
2018-06-03,22.936,57.036
2018-06-04,28.576,60.76
2018-06-05,21.056,63.895999999999994
2018-06-06,18.2548,71.34400000000001
2018-06-07,27.824,62.328
2018-06-08,43.804,53.312
2018-06-09,31.020000000000003,56.84
2018-06-10,18.123199999999997,68.404
2018-06-11,31.96,67.424
2018-06-12,31.584,60.955999999999996
2018-06-13,38.163999999999994,49.784
2018-06-14,32.900000000000006,63.112
2018-06-15,30.456,53.704
2018-06-16,11.28,64.87599999999999
2018-06-17,6.58,63.30800000000001
2018-06-18,10.9604,61.544
2018-06-19,17.4276,60.172000000000004
2018-06-20,31.020000000000003,61.74
2018-06-21,25.192,75.85199999999999
2018-06-22,26.696,70.16799999999999
2018-06-23,14.0624,69.188
2018-06-24,10.2648,65.66000000000001
2018-06-25,16.4876,58.408
2018-06-26,17.483999999999998,63.7
2018-06-27,28.388,63.504
2018-06-28,25.944,54.488
2018-06-29,17.39,66.836
2018-06-30,12.7276,64.092
2018-07-01,12.7088,63.30800000000001
2018-07-02,11.9944,61.151999999999994
2018-07-03,15.5288,58.212
2018-07-04,10.528,69.384
2018-07-05,28.952,57.036
2018-07-06,51.888,60.172000000000004
2018-07-07,34.967999999999996,86.24
2018-07-08,26.884,77.812
2018-07-09,38.728,34.104
2018-07-10,24.628,40.964
2018-07-11,28.2,43.903999999999996
2018-07-12,18.988,45.668
2018-07-13,13.874400000000001,51.156000000000006
2018-07-14,14.626399999999999,47.628
2018-07-15,15.397199999999998,53.704
2018-07-16,21.62,49.98
2018-07-17,9.7196,55.272
2018-07-18,21.996000000000002,50.96
2018-07-19,26.32,44.492000000000004
2018-07-20,13.9496,46.452
2018-07-21,9.080400000000001,47.04
2018-07-22,18.2924,41.356
2018-07-23,36.66,49.98
2018-07-24,38.352000000000004,56.252
2018-07-25,28.2,61.151999999999994
2018-07-26,27.072,50.763999999999996
2018-07-27,29.328,65.072
2018-07-28,20.116,63.7
2018-07-29,20.116,66.24799999999999
2018-07-30,22.936,48.803999999999995
2018-07-31,24.252,47.628
2018-08-01,21.62,43.512
2018-08-02,23.124,41.552
2018-08-03,33.839999999999996,40.572
2018-08-04,27.072,47.236
2018-08-05,25.756,58.212
2018-08-06,39.291999999999994,61.93600000000001
2018-08-07,46.623999999999995,57.428
2018-08-08,27.448,57.036
2018-08-09,32.900000000000006,49.0
2018-08-10,41.36,42.336000000000006
2018-08-11,22.56,41.356
2018-08-12,11.373999999999999,47.628
2018-08-13,23.124,35.672000000000004
2018-08-14,18.386400000000002,42.336000000000006
2018-08-15,20.868000000000002,49.196000000000005
2018-08-16,13.16,62.328
2018-08-17,21.808,54.096
2018-08-18,18.142,59.192
2018-08-19,14.3256,71.148
2018-08-20,19.176000000000002,62.328
2018-08-21,18.8,51.744
2018-08-22,17.296,65.856
2018-08-23,23.5,68.404
2018-08-24,22.56,66.444
2018-08-25,21.996000000000002,75.46
2018-08-26,10.622,87.024
2018-08-27,17.2396,74.872
2018-08-28,23.875999999999998,51.94
2018-08-29,32.524,44.884
2018-09-06,14.532399999999999,69.188
2018-09-07,26.696,63.112
2018-09-08,28.952,74.48
2018-09-09,39.291999999999994,40.376
2018-09-10,24.628,66.444
2018-09-11,26.32,65.268
2018-09-12,23.311999999999998,73.108
2018-09-13,41.736000000000004,53.508
2018-09-14,59.596,46.648
2018-09-15,34.216,39.984
2018-09-16,31.020000000000003,57.82
2018-09-17,44.368,42.532000000000004
2018-09-18,43.804,48.608
2018-09-19,41.36,49.0
2018-09-20,42.864000000000004,41.160000000000004
2018-09-21,27.824,54.488
2018-09-22,21.62,67.62
2018-09-23,20.304000000000002,66.052
2018-09-24,25.756,49.588
2018-09-25,20.304000000000002,51.94
2018-09-26,28.764,54.291999999999994
2018-09-27,39.480000000000004,49.196000000000005
2018-09-28,38.163999999999994,56.252
2018-09-29,16.1304,73.696
2018-09-30,25.756,50.568
2018-10-01,32.524,38.22
2018-10-02,34.216,30.184
2018-10-03,20.68,29.792
2018-10-04,15.8484,29.008000000000003
2018-10-05,27.824,35.083999999999996
2018-10-06,24.064,46.256
2018-10-07,16.1116,60.368
2018-10-08,23.311999999999998,56.84
2018-10-09,17.3524,57.82
2018-10-10,21.62,49.588
2018-10-11,34.216,28.42
2018-10-12,30.456,46.452
2018-10-13,14.6452,49.588
2018-11-21,41.924,45.471999999999994
2018-11-22,17.991600000000002,41.748
2018-11-23,33.276,26.852
2018-11-24,37.6,23.716
2018-11-25,31.020000000000003,32.536
2018-11-26,52.076,26.852
2018-11-27,55.083999999999996,22.932000000000002
2018-11-28,41.172,30.184
2018-11-29,28.576,40.768
2018-11-30,27.824,36.26
2018-12-01,28.764,33.516
2018-12-02,13.5172,62.916
2018-12-03,48.879999999999995,25.872
2018-12-04,57.528,19.3256
2018-12-05,41.924,27.244
2018-12-06,31.020000000000003,33.712
2018-12-07,41.172,19.2668
2018-12-08,39.104,26.46
2018-12-09,38.352000000000004,21.364
2018-12-10,53.016,9.0748
2018-12-11,55.836,12.74
2018-12-12,47.751999999999995,20.188
2018-12-13,53.016,8.819999999999999
2018-12-15,35.72,49.0
2018-12-16,40.608000000000004,32.732
2018-12-17,28.576,32.144000000000005
2018-12-18,35.908,17.9732
2018-12-19,54.52,13.1516
2018-12-20,59.784000000000006,14.0532
2018-12-21,68.61999999999999,8.486799999999999
2018-12-22,58.092,12.8184
2018-12-23,50.572,19.992
2018-12-24,42.3,27.636
2018-12-25,6.9748,62.72
2018-12-26,40.419999999999995,25.872
2018-12-27,33.839999999999996,33.712
2018-12-28,31.396,45.864000000000004
2018-12-29,51.7,19.796
2018-12-30,48.879999999999995,20.776
2018-12-31,39.291999999999994,30.968000000000004
2019-01-01,43.24,26.46
2019-01-02,49.444,22.148
2019-01-03,57.904,18.2868
2019-01-04,66.74,11.2308
2019-01-05,49.256,22.932000000000002
2019-01-06,19.364,45.275999999999996
2019-01-07,31.96,32.144000000000005
2019-01-08,45.872,16.0132
2019-01-09,50.948,16.6208
2019-01-10,40.796,17.8164
2019-01-11,45.308,11.858
2019-01-12,22.936,49.784
2019-01-13,52.452000000000005,12.328399999999998
2019-01-14,27.26,40.964
2019-01-15,28.012,39.2
2019-01-16,26.131999999999998,38.808
2019-01-17,24.816,35.083999999999996
2019-01-18,35.908,14.21
2019-01-19,35.156000000000006,23.912000000000003
2019-01-20,29.704000000000004,22.932000000000002
2019-01-21,9.080400000000001,65.268
2019-01-22,43.616,34.104
2019-01-23,52.828,19.11
2019-01-24,58.844,17.4636
2019-01-25,62.980000000000004,10.1332
2019-01-26,57.528,23.324
2019-01-27,47.564,29.988
2019-01-28,78.02000000000001,11.8384
2019-01-29,68.61999999999999,19.5216
2019-01-30,45.872,23.52
2019-01-31,40.232,16.8952
2019-02-01,36.472,26.067999999999998
2019-02-02,18.988,51.352000000000004
2019-02-03,18.048,50.763999999999996
2019-02-04,25.944,51.744
2019-02-05,22.184,52.332
2019-02-06,16.5064,60.955999999999996
2019-02-07,48.316,27.44
2019-02-08,48.128,30.575999999999997
2019-02-09,27.824,42.924
2019-02-10,15.5852,53.116
2019-02-11,30.832000000000004,51.94
2019-02-12,83.28399999999999,3.6456000000000004
2019-02-13,45.872,32.34
2019-02-14,24.439999999999998,39.984
2019-02-15,27.824,38.611999999999995
2019-02-16,11.937999999999999,61.74
2019-02-17,11.0168,59.78
2019-02-18,18.724800000000002,56.448
2019-02-19,37.6,37.632
2019-02-20,37.976,33.32
2019-02-21,34.216,33.712
2019-02-22,49.256,24.304
2019-02-23,36.66,43.903999999999996
2019-02-24,38.163999999999994,42.728
2019-02-25,52.64,29.008000000000003
2019-02-26,50.948,32.34
2019-02-27,32.711999999999996,41.160000000000004
2019-02-28,27.072,31.36
2019-03-01,28.576,33.32
2019-03-02,21.432000000000002,35.868
2019-03-03,9.212,58.016000000000005
2019-03-04,23.311999999999998,44.688
2019-03-05,45.872,24.892
2019-03-06,31.020000000000003,35.476000000000006
2019-03-07,21.056,54.291999999999994
2019-03-08,19.176000000000002,58.408
2019-03-09,23.124,46.06
2019-03-10,22.56,45.275999999999996
2019-03-11,36.284,34.692
2019-03-12,34.592,45.08
2019-03-13,24.439999999999998,64.484
2019-03-14,47.564,50.372
2019-03-15,53.956,37.24
2019-03-16,52.64,39.788
2019-03-17,33.839999999999996,56.448
2019-03-18,46.623999999999995,56.448
2019-03-19,38.54,44.688
2019-03-20,22.56,60.564
2019-03-21,34.028000000000006,41.160000000000004
2019-03-22,28.764,46.452
2019-03-23,24.439999999999998,41.160000000000004
2019-03-24,20.68,52.724000000000004
2019-03-25,37.412,48.02
2019-03-26,43.24,42.13999999999999
2019-03-27,27.072,38.024
2019-03-28,23.688,40.376
2019-03-29,37.412,39.004000000000005
2019-03-30,35.72,59.584
2019-03-31,32.148,71.736
2019-04-01,45.872,52.724000000000004
2019-04-02,27.448,56.448
2019-04-03,16.6944,47.628
2019-04-04,38.916,16.7776
2019-04-05,12.5772,54.488
2019-04-06,19.552,43.708
2019-04-07,26.131999999999998,50.568
2019-04-08,48.316,42.728
2019-04-09,27.448,49.588
2019-04-10,7.2004,86.632
2019-04-11,44.744,45.471999999999994
2019-04-12,26.696,55.664
2019-04-13,30.456,46.648
2019-04-14,29.328,56.448
2019-04-15,27.448,52.528
2019-04-16,18.988,60.564
2019-04-17,33.276,43.12
2019-04-18,42.112,57.428
2019-04-19,29.516,55.86
2019-04-20,12.2952,73.108
2019-04-21,11.5996,71.148
2019-04-22,32.711999999999996,44.492000000000004
2019-04-23,37.224000000000004,42.728
2019-04-24,34.967999999999996,48.02
2019-04-25,32.900000000000006,46.256
2019-04-26,27.26,49.784
2019-04-27,17.991600000000002,64.484
2019-04-28,16.055200000000003,65.66000000000001
2019-04-29,15.904800000000002,54.488
2019-04-30,12.896799999999999,60.76
2019-05-01,19.740000000000002,59.192
2019-05-02,29.704000000000004,42.13999999999999
2019-05-03,26.32,59.78
2019-05-04,15.5852,77.028
2019-05-05,11.0732,79.184
2019-05-06,13.3668,58.212
2019-05-07,18.8,51.744
2019-05-08,18.3676,50.96
2019-05-09,26.131999999999998,43.12
2019-05-10,31.396,32.536
2019-05-11,21.996000000000002,44.1
2019-05-12,16.7132,55.86
2019-05-13,12.032,76.048
2019-05-14,20.68,70.95200000000001
2019-05-15,20.68,52.135999999999996
2019-05-16,19.364,49.196000000000005
2019-05-17,22.936,46.256
2019-05-18,21.244,59.584
2019-05-19,8.0652,75.46
2019-05-20,12.2952,73.108
2019-05-21,17.483999999999998,62.132
2019-05-22,24.064,52.332
2019-05-23,29.328,36.848
2019-05-24,24.628,39.788
2019-05-25,20.868000000000002,47.628
2019-05-26,9.5504,66.24799999999999
2019-05-27,13.9496,55.664
2019-05-28,27.448,39.2
2019-05-29,33.839999999999996,42.13999999999999
2019-05-30,28.388,51.156000000000006
2019-05-31,25.756,62.132
2019-06-01,14.8144,68.404
2019-06-02,11.186,67.62
2019-06-03,18.6308,62.132
2019-06-04,23.875999999999998,60.368
2019-06-05,29.704000000000004,56.84
2019-06-06,21.996000000000002,68.404
